"Provincia","Sí, se encuentra afiliado a algún seguro","No se encuentra afiliado a ningún seguro","Total","","","","",""
" Amazonas, provincia: Bagua","86.74%","13.26%","100.00%","","","","",""
" Amazonas, provincia: Bongara","82.89%","17.11%","100.00%","","","","",""
" Amazonas, provincia: Chachapoyas","83.71%","16.29%","100.00%","","","","",""
" Amazonas, provincia: Condorcanqui","86.34%","13.66%","100.00%","","","","",""
" Amazonas, provincia: Luya","90.05%","9.95%","100.00%","","","","",""
" Amazonas, provincia: Rodríguez de Mendoza","81.21%","18.79%","100.00%","","","","",""
" Amazonas, provincia: Utcubamba","86.69%","13.31%","100.00%","","","","",""
" Áncash, provincia: Aija","91.67%","8.33%","100.00%","","","","",""
" Áncash, provincia: Antonio Raymondi","93.18%","6.82%","100.00%","","","","",""
" Áncash, provincia: Asunción","90.89%","9.11%","100.00%","","","","",""
" Áncash, provincia: Bolognesi","81.79%","18.21%","100.00%","","","","",""
" Áncash, provincia: Carhuaz","89.09%","10.91%","100.00%","","","","",""
" Áncash, provincia: Carlos Fermín Fitzcarrald","94.64%","5.36%","100.00%","","","","",""
" Áncash, provincia: Casma","74.99%","25.01%","100.00%","","","","",""
" Áncash, provincia: Corongo","81.59%","18.41%","100.00%","","","","",""
" Áncash, provincia: Huaraz","80.31%","19.69%","100.00%","","","","",""
" Áncash, provincia: Huari","92.90%","7.10%","100.00%","","","","",""
" Áncash, provincia: Huarmey","75.55%","24.45%","100.00%","","","","",""
" Áncash, provincia: Huaylas","87.68%","12.32%","100.00%","","","","",""
" Áncash, provincia: Mariscal Luzuriaga","95.83%","4.17%","100.00%","","","","",""
" Áncash, provincia: Ocros","73.90%","26.10%","100.00%","","","","",""
" Áncash, provincia: Pallasca","91.01%","8.99%","100.00%","","","","",""
" Áncash, provincia: Pomabamba","95.75%","4.25%","100.00%","","","","",""
" Áncash, provincia: Recuay","85.89%","14.11%","100.00%","","","","",""
" Áncash, provincia: Santa","73.70%","26.30%","100.00%","","","","",""
" Áncash, provincia: Sihuas","95.76%","4.24%","100.00%","","","","",""
" Áncash, provincia: Yungay","88.08%","11.92%","100.00%","","","","",""
" Apurímac, provincia: Abancay","87.04%","12.96%","100.00%","","","","",""
" Apurímac, provincia: Andahuaylas","89.64%","10.36%","100.00%","","","","",""
" Apurímac, provincia: Antabamba","93.41%","6.59%","100.00%","","","","",""
" Apurímac, provincia: Aymaraes","92.46%","7.54%","100.00%","","","","",""
" Apurímac, provincia: Chincheros","92.84%","7.16%","100.00%","","","","",""
" Apurímac, provincia: Cotabambas","87.95%","12.05%","100.00%","","","","",""
" Apurímac, provincia: Grau","94.77%","5.23%","100.00%","","","","",""
" Arequipa, provincia: Arequipa","65.48%","34.52%","100.00%","","","","",""
" Arequipa, provincia: Camaná","63.47%","36.53%","100.00%","","","","",""
" Arequipa, provincia: Caravelí","63.65%","36.35%","100.00%","","","","",""
" Arequipa, provincia: Castilla","73.67%","26.33%","100.00%","","","","",""
" Arequipa, provincia: Caylloma","62.48%","37.52%","100.00%","","","","",""
" Arequipa, provincia: Condesuyos","75.29%","24.71%","100.00%","","","","",""
" Arequipa, provincia: Islay","70.16%","29.84%","100.00%","","","","",""
" Arequipa, provincia: La Unión","86.19%","13.81%","100.00%","","","","",""
" Ayacucho, provincia: Cangallo","95.66%","4.34%","100.00%","","","","",""
" Ayacucho, provincia: Huamanga","81.81%","18.19%","100.00%","","","","",""
" Ayacucho, provincia: Huanca Sancos","95.71%","4.29%","100.00%","","","","",""
" Ayacucho, provincia: Huanta","88.32%","11.68%","100.00%","","","","",""
" Ayacucho, provincia: La Mar","90.52%","9.48%","100.00%","","","","",""
" Ayacucho, provincia: Lucanas","87.30%","12.70%","100.00%","","","","",""
" Ayacucho, provincia: Parinacochas","88.89%","11.11%","100.00%","","","","",""
