"DEPARTAMENTO","PROVINCIA","UBIGEO","Esperanza_vida","Población","P_agua","P_luz","P_alfabeta","P_asegurada","P_presu_usado","Nivel_pobreza","Indice_corr","Ing_fam"
" APURÍMAC","ABANCAY","0301","73.29","110520","80.97","81.98","86.15","87.04","79.1","2","52.9","680.79"
" HUANCAVELICA","ACOBAMBA","0902","74.86","38208","76.39","81.15","77.02","94.41","75.1","4","44.9","275.67"
" CUSCO","ACOMAYO","0802","53.58","22940","81.82","78.91","78.35","89.46","77.9","4","25.6","352.33"
" ÁNCASH","AIJA","0202","58.15","6316","80.81","79.12","87.93","91.67","66.6","3","33.5","580.29"
" LORETO","ALTO AMAZONAS","1602","75.8","122725","18.06","44.88","82.45","89.66","85.2","3","48.2","716.10"
" HUÁNUCO","AMBO","1002","75.09","50880","65.37","71.68","79.63","85.21","63.6","3","42.5","415.82"
" APURÍMAC","ANDAHUAYLAS","0302","82.41","142477","88.52","72.34","79.3","89.64","80.6","3","49.2","477.94"
" HUANCAVELICA","ANGARAES","0903","71.18","49207","75.41","69","77.46","93.39","64.4","4","27.7","329.26"
" CUSCO","ANTA","0803","76.18","56206","83.71","82.49","82.19","80.41","79.2","3","27.6","439.71"
" APURÍMAC","ANTABAMBA","0303","46.54","11310","81.49","74.45","81.09","93.41","74.3","3","21","497.63"
" ÁNCASH","ANTONIO RAYMONDI","0203","71.55","13650","90.83","83.58","79.28","93.18","69.9","4","41.2","376.81"
" AREQUIPA","AREQUIPA","0401","78.15","1080635","70.19","88.58","92.24","65.48","61","1","61.6","1101.56"
" LA LBERTAD","ASCOPE","1302","77.65","115786","89.07","94.5","90.16","79.33","83.6","2","45.3","988.88"
" ÁNCASH","ASUNCION","0204","71.36","7378","90.62","88.27","75.35","90.89","83.4","3","21.4","567.88"
" UCAYALI","ATALAYA","2502","57.12","49324","24.63","35.52","74.07","78.53","78.3","3","54.3","519.31"
" PIURA","AYABACA","2002","62.78","119287","51.23","75.64","77.9","87.19","69.4","5","47.3","292.91"
" APURÍMAC","AYMARAES","0304","65.26","24307","86.39","83.94","79.61","92.46","70","3","31.6","434.67"
" PUNO","AZANGARO","2102","63.94","110392","29.49","71.76","82.37","80.23","73.2","4","46.7","286.69"
" AMAZONAS","BAGUA","0102","77.7","74100","77.72","74.42","83.4","86.74","79.5","3","36.3","657.15"
" LIMA","BARRANCA","1502","84.55","144381","89.49","94.65","89.88","78.22","76.2","1","51.5","1246.95"
" SAN MARTÍN","BELLAVISTA","2202","73.91","55033","51.83","77.47","84.32","85.07","89.6","3","39.7","700.20"
" LA LBERTAD","BOLIVAR","1303","82.67","14457","62.45","70.53","82.52","87.02","49.9","5","36.8","406.62"
" ÁNCASH","BOLOGNESI","0205","68.51","23797","77.31","83","87.28","81.79","68","2","40.3","705.55"
