"","","","","","","","",""
"","","","","","","","",""
"TEMA: Factores socioeconómicos que influyen en la esperanza de vida en las provincias del Perú","","","","","","","",""
"","","","","","","","",""
"DICCIONARIO DE VARIABLES","","","","","","","",""
"Tipo de Variable","Nombre","Tipo","Código","Descripción","","","",""
"VD","Esperanza de vida ","Númerica","Esperanza_vida","Esperanza de vida de las personas en años ","","","Nivel de pobreza monetaria de la provincia: muy alta, alta, moderada, baja, muy baja",""
"VC ","Población","Númerica","Población","Tamaño poblacional","","","POBR_MON",""
"VI","Población Urbana","Númerica","Urbano","Porcentaje de la población que vive en zonas urbanas","","","1","Muy baja"
"VI","Población con acceso a agua y luz ","Númerica","P_agua_luz","Porcentaje de la población que cuenta con agua potable dentro y fuera de su vivienda pero en su mismo predio y con red electrica pública ","","","2","Baja"
"JU.","Años de estudio población ","Númerica","Año_estud","Promedio de los años de estudio de la población mayor a 25 años","","","3","Moderada"
"VI","Población alfabeta ","Númerica","P_alfabeta","Porcentaje de la población que sabe leer y/o escribir ","","","4","Alta"
"VI","Población afiliada a un seguro ","Númerica ","P_asegurada","Porcentaje de la población asegurada","","","5","Muy alta"
"VC ","Avance presupuestal","Numérica ","P_presu_usado","Porcentaje del presupuesto ejecutado por provincia ","","","",""
"VI","Nivel de pobreza monetaria por provincia ","Ordinal","Nivel_pobreza","Nivel de pobreza monetaria por provincia, se mide en 5 niveles  ","","","",""
"VC ","Índice de corrupción ","Númerica ","Indice_corr","Índice de corrupción según contraloría ","","","",""
"VI","Ingreso familiar ","Númerica ","Ing_fam","Promedio del ingreso familiar","","","",""
"Extra","UBIGEO ","Categórica","UBIGEO","INEI o CONTRALORÍA ","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
