"PROVINCIAS","2003","2018"
"—       Prov. Const. del Callao","73.9","83.17"
"—       Palpa","70.6","85.81"
"—       Chincha","71.3","84.94"
"—       Nazca","72.0","84.25"
"—       Ica","72.0","83.15"
"—       Pisco","73.4","75.81"
"—       Prov. de Lima Metrop.","73.7","82.15"
"—       General Sánchez Cerro","69.1","83.94"
"—       Ilo","71.8","80.75"
"—       Mariscal Nieto","73.0","79.03"
"—       Tumbes","70.2","82.12"
"—       Contralmirante Villar","70.8","74.51"
"—       Zarumilla","70.6","73.66"
"—       La Unión","60.1","93.11"
"—       Caravelí","69.4","87.12"
"—       Camaná","70.4","85.54"
"—       Condesuyos","66.5","83.08"
"—       Caylloma","66.5","82.66"
"—       Arequipa","72.4","78.15"
"—       Castilla","68.6","77.24"
"—       Islay","70.4","76.70"
"—       Tarata","67.9","82.84"
"—       Tacna","72.8","78.32"
"—       Jorge Basadre","72.5","74.29"
"—       Candarave","69.3","70.59"
"—       Chiclayo","72.3","81.52"
"—       Lambayeque","70.7","74.73"
"—       Ferreñafe","68.4","69.60"
"—       Pacasmayo","72.2","83.74"
"—       Bolívar","67.6","82.67"
"—       Trujillo","73.4","79.82"
"—       Chepén","72.4","79.33"
"—       Ascope","72.6","77.65"
"—       Santiago de Chuco","69.8","77.75"
"—       Sánchez Carrión","66.0","77.62"
"—       Pataz","66.3","76.98"
"—       Virú","73.6","76.34"
"—       Otuzco","71.2","74.77"
"—       Julcán","69.8","70.40"
"—       Gran Chimú","71.9","72.06"
"—       Oyón","65.1","88.80"
"—       Barranca","73.1","84.55"
"—       Cañete","72.7","83.02"
"—       Huaral","73.3","82.42"
"—       Yauyos","66.0","80.12"
"—       Huaura","73.2","78.71"
"—       Canta","73.1","76.10"
"—       Huarochirí","70.8","72.76"
"—       Cajatambo","72.0","68.28"
"—       Carhuaz","64.2","85.75"
"—       Huaylas","66.3","84.43"
"—       Huarmey","71.0","81.07"
"—       Casma","70.3","80.91"
"—       Ocros","69.7","80.60"
"—       Santa","73.2","79.26"
"—       Carlos Fermín Fitzcarrald","63.9","78.15"
"—       Huari","66.3","77.05"
"—       Pomabamba","70.1","75.96"
"—       Sihuas","66.6","75.49"
"—       Huaraz","69.6","74.99"
"—       Yungay","63.5","74.44"
"—       Mariscal Luzuriaga","66.6","73.04"
"—       Antonio Raimondi","65.4","71.55"
"—       Asunción","65.7","71.36"
"—       Corongo","71.2","70.84"
"—       Bolognesi","68.9","68.51"
"—       Recuay","70.6","65.18"
"—       Pallasca","67.4","63.07"
"—       Aija","67.9","58.15"
"—       Cajabamba","69.1","80.84"
"—       Hualgayoc","68.3","80.14"
"—       Cutervo","68.9","78.67"
"—       San Ignacio","67.7","78.25"
"—       Jaén","69.3","77.14"
"—       San Miguel","69.7","75.53"
"—       Cajamarca","69.5","75.26"
"—       Celendín","66.0","73.52"
"—       Chota","71.7","70.31"
"—       Contumazá","70.8","69.79"
"—       San Marcos","67.5","69.75"
"—       Santa Cruz","71.0","69.16"
"—       San Pablo","68.8","63.48"
"—       Paita","69.8","81.01"
"—       Piura","69.6","79.31"
"—       Sullana","72.5","78.92"
"—       Talara","72.8","74.47"
"—       Morropón","68.4","73.23"
"—       Sechura","68.7","68.95"
"—       Ayabaca","68.2","62.78"
"—       Huancabamba","67.2","60.13"
"—       El Dorado","64.9","81.04"
"—       Picota","67.9","80.43"
"—       Huallaga","71.6","79.33"
"—       Rioja","72.3","75.24"
"—       Moyobamba","71.5","74.78"
"—       Bellavista","67.6","73.91"
"—       San Martín","71.3","73.49"
"—       Mariscal Cáceres","70.6","72.53"
"—       Lamas","71.1","71.76"
"—       Tocache","71.5","68.80"
"—       Tahuamanú","72.3","84.99"
"—       Manú","74.4","76.32"
"—       Tambopata","71.3","71.43"
"—       Bagua","70.1","77.70"
"—       Luya","67.1","75.06"
"—       Chachapoyas","69.6","74.79"
"—       Utcubamba","69.6","74.45"
"—       Bongara","69.4","73.04"
"—       Rodríguez de Mendoza","72.1","70.56"
"—       Condorcanqui","67.1","67.53"
"—       Huacaybamba","63.7","80.89"
"—       Huamalíes","66.5","76.96"
"—       Huánuco","69.2","76.22"
"—       Yarowilca","64.7","75.98"
"—       Ambo","68.7","75.09"
"—       Pachitea","65.5","73.01"
"—       Leoncio Prado","72.0","71.81"
"—       Lauricocha","67.6","70.57"
"—       Puerto Inca","69.5","69.85"
"—       Dos de Mayo","66.3","66.66"
"—       Marañón","65.2","65.83"
"—       Yauli","70.1","78.93"
"—       Chanchamayo","70.2","76.99"
"—       Satipo","67.7","76.42"
"—       Tarma","69.7","75.00"
"—       Concepción","68.4","72.81"
"—       Chupaca","68.9","72.48"
"—       Huancayo","71.7","71.64"
"—       Jauja","69.6","69.98"
"—       Junín","68.2","68.76"
"—       Padre Abad","68.9","82.40"
"—       Coronel Portillo","68.7","75.63"
"—       Purús","66.9","66.43"
"—       Atalaya","65.3","57.12"
"—       Andahuaylas","65.5","82.41"
"—       Cotabambas","63.4","76.18"
"—       Abancay","69.5","73.29"
"—       Chincheros","65.3","73.16"
"—       Aymaraes","63.1","65.26"
"—       Grau","63.1","62.85"
"—       Antabamba","63.3","46.54"
"—       Pasco","69.9","75.01"
"—       Daniel Alcides Carrión","65.3","73.67"
"—       Oxapampa","71.4","67.30"
"—       Datem del Marañón","66.5","82.18"
"—       Putumayo","-","78.03"
"—       Requena","64.9","77.36"
"—       Alto Amazonas","66.6","75.80"
"—       Maynas","70.1","72.50"
"—       Loreto","66.8","71.34"
"—       Ucayali","67.0","68.50"
"—       Mariscal Ramón Castilla","69.7","65.57"
"—       Cangallo","63.0","85.78"
"—       Víctor Fajardo","63.5","82.55"
"—       La Mar","63.3","82.24"
"—       Huanta","65.8","76.63"
"—       Huanca Sancos","63.5","74.39"
"—       Páucar del Sara Sara","69.9","68.52"
"—       Vilcashuamán","67.5","68.52"
"—       Huamanga","70.0","67.77"
"—       Sucre","65.1","67.58"
"—       Lucanas","67.6","63.40"
"—       Parinacochas","66.6","51.11"
"—       Canchis","61.6","80.97"
"—       Urubamba","65.9","79.31"
"—       La Convención","67.8","78.08"
"—       Cuzco","71.4","77.23"
"—       Anta","63.7","76.18"
"—       Calca","65.3","74.05"
"—       Chumbivilcas","63.5","67.64"
"—       Espinar","65.5","66.14"
"—       Quispicanchi","63.0","62.82"
"—       Paruro","63.4","59.06"
"—       Canas","62.1","57.90"
"—       Paucartambo","64.5","57.16"
