"Provincia","Sí sabe leer y escribir","No sabe leer y escribir","Total","","","","",""
" Amazonas, provincia: Bagua","83.40%","16.60%","100.00%","","","","",""
" Amazonas, provincia: Bongara","85.84%","14.16%","100.00%","","","","",""
" Amazonas, provincia: Chachapoyas","88.50%","11.50%","100.00%","","","","",""
" Amazonas, provincia: Condorcanqui","77.73%","22.27%","100.00%","","","","",""
" Amazonas, provincia: Luya","81.81%","18.19%","100.00%","","","","",""
" Amazonas, provincia: Rodríguez de Mendoza","84.79%","15.21%","100.00%","","","","",""
" Amazonas, provincia: Utcubamba","83.15%","16.85%","100.00%","","","","",""
" Áncash, provincia: Aija","87.93%","12.07%","100.00%","","","","",""
" Áncash, provincia: Antonio Raymondi","79.28%","20.72%","100.00%","","","","",""
" Áncash, provincia: Asunción","75.35%","24.65%","100.00%","","","","",""
" Áncash, provincia: Bolognesi","87.28%","12.72%","100.00%","","","","",""
" Áncash, provincia: Carhuaz","76.25%","23.75%","100.00%","","","","",""
" Áncash, provincia: Carlos Fermín Fitzcarrald","72.99%","27.01%","100.00%","","","","",""
" Áncash, provincia: Casma","86.13%","13.87%","100.00%","","","","",""
" Áncash, provincia: Corongo","83.64%","16.36%","100.00%","","","","",""
" Áncash, provincia: Huaraz","87.12%","12.88%","100.00%","","","","",""
" Áncash, provincia: Huari","80.11%","19.89%","100.00%","","","","",""
" Áncash, provincia: Huarmey","90.47%","9.53%","100.00%","","","","",""
" Áncash, provincia: Huaylas","79.76%","20.24%","100.00%","","","","",""
" Áncash, provincia: Mariscal Luzuriaga","71.59%","28.41%","100.00%","","","","",""
" Áncash, provincia: Ocros","89.17%","10.83%","100.00%","","","","",""
" Áncash, provincia: Pallasca","82.07%","17.93%","100.00%","","","","",""
" Áncash, provincia: Pomabamba","71.00%","29.00%","100.00%","","","","",""
" Áncash, provincia: Recuay","84.88%","15.12%","100.00%","","","","",""
" Áncash, provincia: Santa","90.81%","9.19%","100.00%","","","","",""
" Áncash, provincia: Sihuas","76.67%","23.33%","100.00%","","","","",""
" Áncash, provincia: Yungay","75.30%","24.70%","100.00%","","","","",""
" Apurímac, provincia: Abancay","86.15%","13.85%","100.00%","","","","",""
" Apurímac, provincia: Andahuaylas","79.30%","20.70%","100.00%","","","","",""
" Apurímac, provincia: Antabamba","81.09%","18.91%","100.00%","","","","",""
" Apurímac, provincia: Aymaraes","79.61%","20.39%","100.00%","","","","",""
" Apurímac, provincia: Chincheros","78.31%","21.69%","100.00%","","","","",""
" Apurímac, provincia: Cotabambas","77.20%","22.80%","100.00%","","","","",""
" Apurímac, provincia: Grau","78.89%","21.11%","100.00%","","","","",""
" Arequipa, provincia: Arequipa","92.24%","7.76%","100.00%","","","","",""
" Arequipa, provincia: Camaná","90.53%","9.47%","100.00%","","","","",""
" Arequipa, provincia: Caravelí","90.49%","9.51%","100.00%","","","","",""
" Arequipa, provincia: Castilla","87.57%","12.43%","100.00%","","","","",""
" Arequipa, provincia: Caylloma","87.92%","12.08%","100.00%","","","","",""
" Arequipa, provincia: Condesuyos","87.22%","12.78%","100.00%","","","","",""
" Arequipa, provincia: Islay","91.37%","8.63%","100.00%","","","","",""
" Arequipa, provincia: La Unión","78.58%","21.42%","100.00%","","","","",""
" Ayacucho, provincia: Cangallo","77.67%","22.33%","100.00%","","","","",""
" Ayacucho, provincia: Huamanga","86.05%","13.95%","100.00%","","","","",""
" Ayacucho, provincia: Huanca Sancos","80.71%","19.29%","100.00%","","","","",""
" Ayacucho, provincia: Huanta","81.83%","18.17%","100.00%","","","","",""
" Ayacucho, provincia: La Mar","79.92%","20.08%","100.00%","","","","",""
" Ayacucho, provincia: Lucanas","83.60%","16.40%","100.00%","","","","",""
" Ayacucho, provincia: Parinacochas","83.43%","16.57%","100.00%","","","","",""
" Ayacucho, provincia: Páucar del Sara Sara","85.49%","14.51%","100.00%","","","","",""
" Ayacucho, provincia: Sucre","81.77%","18.23%","100.00%","","","","",""
" Ayacucho, provincia: Víctor Fajardo","78.24%","21.76%","100.00%","","","","",""
" Ayacucho, provincia: Vilcas Huamán","76.24%","23.76%","100.00%","","","","",""
" Cajamarca, provincia: Cajabamba","79.26%","20.74%","100.00%","","","","",""
" Cajamarca, provincia: Cajamarca","84.44%","15.56%","100.00%","","","","",""
" Cajamarca, provincia: Celendín","79.63%","20.37%","100.00%","","","","",""
" Cajamarca, provincia: Chota","78.16%","21.84%","100.00%","","","","",""
" Cajamarca, provincia: Contumazá","86.66%","13.34%","100.00%","","","","",""
" Cajamarca, provincia: Cutervo","79.25%","20.75%","100.00%","","","","",""
" Cajamarca, provincia: Hualgayoc","74.49%","25.51%","100.00%","","","","",""
" Cajamarca, provincia: Jaén","84.55%","15.45%","100.00%","","","","",""
" Cajamarca, provincia: San Ignacio","81.85%","18.15%","100.00%","","","","",""
" Cajamarca, provincia: San Marcos","78.10%","21.90%","100.00%","","","","",""
" Cajamarca, provincia: San Miguel","83.04%","16.96%","100.00%","","","","",""
" Cajamarca, provincia: San Pablo","79.10%","20.90%","100.00%","","","","",""
" Cajamarca, provincia: Santa Cruz","82.29%","17.71%","100.00%","","","","",""
" Cusco, provincia: Acomayo","78.35%","21.65%","100.00%","","","","",""
" Cusco, provincia: Anta","82.19%","17.81%","100.00%","","","","",""
" Cusco, provincia: Calca","79.72%","20.28%","100.00%","","","","",""
" Cusco, provincia: Canas","79.28%","20.72%","100.00%","","","","",""
" Cusco, provincia: Canchis","83.98%","16.02%","100.00%","","","","",""
" Cusco, provincia: Chumbivilcas","77.94%","22.06%","100.00%","","","","",""
" Cusco, provincia: Cusco","91.62%","8.38%","100.00%","","","","",""
" Cusco, provincia: Espinar","85.08%","14.92%","100.00%","","","","",""
" Cusco, provincia: La Convención","84.92%","15.08%","100.00%","","","","",""
" Cusco, provincia: Paruro","75.46%","24.54%","100.00%","","","","",""
" Cusco, provincia: Paucartambo","73.60%","26.40%","100.00%","","","","",""
" Cusco, provincia: Quispicanchi","78.40%","21.60%","100.00%","","","","",""
" Cusco, provincia: Urubamba","85.12%","14.88%","100.00%","","","","",""
" Huancavelica, provincia: Acobamba","77.02%","22.98%","100.00%","","","","",""
" Huancavelica, provincia: Angaraes","77.46%","22.54%","100.00%","","","","",""
" Huancavelica, provincia: Castrovirreyna","84.91%","15.09%","100.00%","","","","",""
" Huancavelica, provincia: Churcampa","76.61%","23.39%","100.00%","","","","",""
" Huancavelica, provincia: Huancavelica","82.63%","17.37%","100.00%","","","","",""
" Huancavelica, provincia: Huaytará","83.64%","16.36%","100.00%","","","","",""
" Huancavelica, provincia: Tayacaja","79.18%","20.82%","100.00%","","","","",""
" Huánuco, provincia: Ambo","79.63%","20.37%","100.00%","","","","",""
" Huánuco, provincia: Dos De Mayo","81.35%","18.65%","100.00%","","","","",""
" Huánuco, provincia: Huacaybamba","77.72%","22.28%","100.00%","","","","",""
" Huánuco, provincia: Huamalíes","82.79%","17.21%","100.00%","","","","",""
" Huánuco, provincia: Huánuco","84.73%","15.27%","100.00%","","","","",""
" Huánuco, provincia: Lauricocha","87.61%","12.39%","100.00%","","","","",""
" Huánuco, provincia: Leoncio Prado","85.96%","14.04%","100.00%","","","","",""
" Huánuco, provincia: Marañón","79.21%","20.79%","100.00%","","","","",""
" Huánuco, provincia: Pachitea","73.42%","26.58%","100.00%","","","","",""
" Huánuco, provincia: Puerto Inca","83.74%","16.26%","100.00%","","","","",""
