"DEPARTAMENTO","PROVINCIA","UBIGEO","Esperanza_vida","Población","Urbano","P_agua_luz","Año_estud","P_alfabeta","P_asegurada","P_presu_usado","Nivel_pobreza","Indice_corr","Ing_fam"
" APURÍMAC","ABANCAY","0301","73.29","110520","80.7","81.47","8.64","86.15","87.04","79.1","2","52.9","680.79"
" HUANCAVELICA","ACOBAMBA","0902","74.86","38208","91.05","78.77","4.63","77.02","94.41","75.1","4","44.9","275.67"
" CUSCO","ACOMAYO","0802","53.58","22940","78.65","80.36","4.63","78.35","89.46","77.9","4","25.6","352.33"
" ÁNCASH","AIJA","0202","58.15","6316","50.52","79.97","6.78","87.93","91.67","66.6","3","33.5","580.29"
" LORETO","ALTO AMAZONAS","1602","75.8","122725","33.83","31.47","6.20","82.45","89.66","85.2","3","48.2","716.10"
" HUÁNUCO","AMBO","1002","75.09","50880","34.23","68.53","4.91","79.63","85.21","63.6","3","42.5","415.82"
" APURÍMAC","ANDAHUAYLAS","0302","82.41","142477","45.2","80.43","5.98","79.3","89.64","80.6","3","49.2","477.94"
" HUANCAVELICA","ANGARAES","0903","71.18","49207","40.79","72.20","5.03","77.46","93.39","64.4","4","27.7","329.26"
" CUSCO","ANTA","0803","76.18","56206","65.59","83.10","6.17","82.19","80.41","79.2","3","27.6","439.71"
" APURÍMAC","ANTABAMBA","0303","46.54","11310","65.76","77.97","6.29","81.09","93.41","74.3","3","21","497.63"
" ÁNCASH","ANTONIO RAYMONDI","0203","71.55","13650","80.84","87.20","5.72","79.28","93.18","69.9","4","41.2","376.81"
" AREQUIPA","AREQUIPA","0401","78.15","1080635","16.69","79.38","10.65","92.24","65.48","61","1","61.6","1101.56"
" LA LBERTAD","ASCOPE","1302","77.65","115786","57.34","91.78","8.40","90.16","79.33","83.6","2","45.3","988.88"
" ÁNCASH","ASUNCION","0204","71.36","7378","81.94","89.44","5.30","75.35","90.89","83.4","3","21.4","567.88"
" UCAYALI","ATALAYA","2502","57.12","49324","39.26","30.08","5.85","74.07","78.53","78.3","3","54.3","519.31"
" PIURA","AYABACA","2002","62.78","119287","67.66","63.44","4.07","77.9","87.19","69.4","5","47.3","292.91"
" APURÍMAC","AYMARAES","0304","65.26","24307","73.71","85.16","5.82","79.61","92.46","70","3","31.6","434.67"
" PUNO","AZANGARO","2102","63.94","110392","39.49","50.62","5.82","82.37","80.23","73.2","4","46.7","286.69"
" AMAZONAS","BAGUA","0102","77.7","74100","94.91","76.07","6.66","83.4","86.74","79.5","3","36.3","657.15"
" LIMA","BARRANCA","1502","84.55","144381","85.73","92.07","8.48","89.88","78.22","76.2","1","51.5","1246.95"
" SAN MARTÍN","BELLAVISTA","2202","73.91","55033","77.87","64.65","5.49","84.32","85.07","89.6","3","39.7","700.20"
" LA LBERTAD","BOLIVAR","1303","82.67","14457","91.27","66.49","4.94","82.52","87.02","49.9","5","36.8","406.62"
" ÁNCASH","BOLOGNESI","0205","68.51","23797","91.61","80.16","7.08","87.28","81.79","68","2","40.3","705.55"
" AMAZONAS","BONGARA","0103","73.04","25637","61","84.29","5.78","85.84","82.89","66.1","3","27.7","595.91"
" CAJAMARCA","CAJABAMBA","0602","80.84","75687","39.23","76.91","4.34","79.26","84.95","79.1","5","50.5","461.63"
" CAJAMARCA","CAJAMARCA","0601","75.26","348433","94.61","79.71","7.42","84.44","76.5","62.4","2","61","721.83"
" LIMA","CAJATAMBO","1503","68.28","6559","95.8","80.03","6.48","86.24","83.08","82.5","3","30.9","693.75"
" CUSCO","CALCA","0804","74.05","63155","44.26","77.81","5.75","79.72","82.2","78.3","3","45","449.13"
" CALLAO","CALLAO","0701","83.17","994494","56.91","96.69","10.06","92.88","77.84","82.7","1","64.1","1198.20"
" AREQUIPA","CAMANA","0402","85.54","59370","90.61","78.83","8.75","90.53","63.47","72","1","47.1","1019.89"
" CUSCO","CANAS","0805","57.9","32484","69.69","63.34","4.76","79.28","89.7","85.6","5","28.3","212.99"
" CUSCO","CANCHIS","0806","80.97","95774","42.17","83.33","7.07","83.98","77.26","77.7","3","41.6","563.65"
" TACNA","CANDARAVE","2302","70.59","6102","74.41","65.67","6.32","86.56","68.55","50.3","2","34.5","496.85"
" LIMA","CANETE","1505","83.02","30443","96.88","84.35","4.74","91.09","76.09","70.2","1","39.4","319.67"
" AYACUCHO","CANGALLO","0502","85.78","11548","87.96","79.01","7.50","77.67","95.66","54.5","4","35.8","1137.51"
" LIMA","CANTA","1504","76.1","240013","36.55","85.29","9.09","90.19","73.25","46.6","1","30.9","1396.41"
" PUNO","CARABAYA","2103","62.49","73322","64.15","53.74","5.47","83.6","70.79","72.6","5","32.3","428.93"
" AREQUIPA","CARAVELI","0403","87.12","41346","99.92","80.03","8.46","90.49","63.65","59.2","1","34.8","1086.97"
" ÁNCASH","CARHUAZ","0206","85.75","45184","91.38","82.94","4.99","76.25","89.09","63.6","3","41","505.82"
" ÁNCASH","CARLOS FERMIN FITZCARRALD","0207","78.15","17717","33.24","75.12","4.39","72.99","94.64","59.4","4","41.6","372.37"
" ÁNCASH","CASMA","0208","80.91","50989","91.31","78.46","7.44","86.13","74.99","78.7","2","52.5","851.06"
" AREQUIPA","CASTILLA","0404","77.24","33629","72.53","82.93","7.89","87.57","73.67","68.5","2","29.7","1037.36"
" HUANCAVELICA","CASTROVIRREYNA","0904","54.55","13982","32.87","60.36","6.69","84.91","92.55","69.1","3","37.9","426.97"
" AREQUIPA","CAYLLOMA","0405","82.66","86771","59.03","73.22","7.57","87.92","62.48","57.8","2","48.7","1044.87"
" CAJAMARCA","CELENDIN","0603","73.52","79084","92.4","67.75","4.45","79.63","88.28","73.3","5","39.7","386.27"
" AMAZONAS","CHACHAPOYAS","0101","74.79","55506","86.58","86.23","7.84","88.5","83.71","74.7","2","62.7","838.09"
" JUNÍN","CHANCHAMAYO","1203","76.99","151489","43.43","76.45","7.19","87.29","68.35","82.4","2","43.6","673.21"
" LA LBERTAD","CHEPEN","1304","79.33","78418","80.61","87.56","7.54","88.6","73.67","71","2","38.5","962.09"
" LAMBAYEQUE","CHICLAYO","1401","81.52","799675","48.72","88.52","9.15","90.99","75.36","69.3","1","51.1","859.66"
" ICA","CHINCHA","1102","84.94","226113","22.92","74.21","9.45","91.32","71.24","70.2","1","39.7","913.99"
" APURÍMAC","CHINCHEROS","0306","73.16","45247","59.99","81.77","5.30","78.31","92.84","68","4","46.9","363.30"
" CAJAMARCA","CHOTA","0604","70.31","142984","59.68","74.11","4.55","78.16","86.78","65.6","5","43.3","429.95"
" PUNO","CHUCUITO","2104","71.59","89002","40.41","49.88","6.48","85.99","65.83","77","4","46.5","281.74"
" CUSCO","CHUMBIVILCAS","0807","67.64","66410","25.43","64.03","4.76","77.94","88.92","68.5","4","43","484.27"
" JUNÍN","CHUPACA","1209","72.48","52988","57.11","77.72","8.12","88.59","63.91","72.6","2","37.7","787.86"
" HUANCAVELICA","CHURCAMPA","0905","57.81","32538","74.26","77.28","4.65","76.61","92.93","79.2","4","31.8","320.14"
" JUNÍN","CONCEPCION","1202","72.81","55591","29.5","80.42","7.29","86.64","70.57","80.7","2","37.5","615.97"
" AREQUIPA","CONDESUYOS","0406","83.08","16118","69.59","68.47","7.63","87.22","75.29","59.8","2","39.1","1223.77"
" AMAZONAS","CONDORCANQUI","0104","67.53","42470","99.46","17.18","5.29","77.73","86.34","65.6","5","30.2","237.84"
" TUMBES","CONTRALMIRANTE VILLAR","2402","74.51","21057","93.22","79.94","8.12","89.52","82.35","72.2","1","51","826.17"
" CAJAMARCA","CONTUMAZA","0605","69.79","27693","88.49","65.31","5.92","86.66","89.2","74.5","4","33.3","557.82"
" UCAYALI","CORONEL PORTILLO","2501","75.63","384168","41.59","57.38","8.62","88.63","74.77","79.5","1","60.3","754.95"
" ÁNCASH","CORONGO","0209","70.84","7532","67.14","84.11","5.92","83.64","81.59","74.2","4","30","509.14"
" APURÍMAC","COTABAMBAS","0305","76.18","50656","94.5","70.30","5.90","77.2","87.95","79.2","4","52.8","491.46"
" CUSCO","CUSCO","0801","77.23","447588","19.24","91.32","10.81","91.62","67.55","72.9","1","53.9","968.17"
" CAJAMARCA","CUTERVO","0606","78.67","120723","72.98","66.82","4.56","79.25","94.68","78.8","5","41","443.18"
" PASCO","DANIEL ALCIDES CARRION","1902","73.67","43580","49.49","62.48","7.29","86.39","86.1","70.7","5","42.3","321.76"
" LORETO","DATEM DEL MARANON","1607","82.18","48482","29.88","22.45","5.26","75.14","88.82","78.9","4","36.6","427.42"
" HUÁNUCO","DOS DE MAYO","1003","66.66","33258","49.7","60.31","5.37","81.35","91.64","76.3","4","27.5","540.84"
" PUNO","EL COLLAO","2105","80.82","63878","90.75","42.46","6.25","82.96","68.78","79.3","4","48.3","317.11"
" SAN MARTÍN","EL DORADO","2203","81.04","36752","27.46","76.05","4.43","81.26","90.57","91.6","3","36","490.94"
" CUSCO","ESPINAR","0808","66.14","57582","98.86","48.22","6.69","85.08","75.95","74.6","3","52.5","693.00"
" LAMBAYEQUE","FERRENAFE","1402","69.6","97415","43.78","71.19","6.87","83.22","85.04","80.4","3","39.6","652.17"
" MOQUEGUA","GENERAL SANCHEZ CERRO","1802","83.94","14865","30.7","55.28","7.55","88.34","75.55","69.8","2","24.6","767.14"
" LA LBERTAD","GRAN CHIMU","1311","72.06","26892","90.82","72.25","4.91","84.45","80.78","68.3","4","40.6","669.68"
" APURÍMAC","GRAU","0307","62.85","21242","49.94","80.07","5.87","78.89","94.77","62.5","4","23.1","322.20"
" HUÁNUCO","HUACAYBAMBA","1004","80.89","16551","41.58","75.06","4.74","77.72","92.09","70.6","5","25.4","296.76"
" CAJAMARCA","HUALGAYOC","0607","80.14","77944","99.36","71.53","4.02","74.49","85.27","74.5","5","48.2","527.45"
" SAN MARTÍN","HUALLAGA","2204","79.33","27506","35.92","74.45","5.74","85.8","87.83","85.7","2","35.4","606.39"
" HUÁNUCO","HUAMALIES","1005","76.96","52039","38.26","70.53","5.15","82.79","91.15","84.8","4","41.2","429.06"
" AYACUCHO","HUAMANGA","0501","67.77","282194","32.35","80.17","8.31","86.05","81.81","72.1","2","60.5","581.14"
" AYACUCHO","HUANCA SANCOS","0503","74.39","8409","29.72","84.50","5.84","80.71","95.71","74.1","4","36.4","509.05"
" PIURA","HUANCABAMBA","2003","60.13","111501","76.95","61.63","4.21","76.15","90.23","66.9","5","43.6","307.83"
" PUNO","HUANCANE","2106","67.93","57651","66.87","60.54","5.67","80.78","74.44","59.9","4","31","290.98"
" HUANCAVELICA","HUANCAVELICA","0901","59.72","115054","68.41","76.19","7.11","82.63","91.69","72.9","3","57.9","495.56"
" JUNÍN","HUANCAYO","1201","71.64","545615","16.84","84.61","9.70","90.54","65.7","81.7","1","59.5","800.97"
