Ubigeo,Departamento,Provincia,Distrito,Hogares_T,V_CarFisInadec_T,V_CarFisInadec,V_Hacin_T,V_Hacin,V_ServHig_T,V_ServHig,H_NinosNoEsc_T,H_NinosNoEsc,H_AltaDepEcon_T,H_AltaDepEcon
10101,Amazonas,Chachapoyas,Chachapoyas,8359,247,3,405,4.8,113,1.4,64,0.8,106,1.3
10102,Amazonas,Chachapoyas,Asunción,104,74,71.2,9,8.7,0,0,1,1,0,0
10103,Amazonas,Chachapoyas,Balsas,355,10,2.8,47,13.2,44,12.4,3,0.8,16,4.5
10104,Amazonas,Chachapoyas,Cheto,220,55,25,3,1.4,26,11.8,2,0.9,2,0.9
10105,Amazonas,Chachapoyas,Chiliquin,206,86,41.7,19,9.2,52,25.2,5,2.4,0,0
10106,Amazonas,Chachapoyas,Chuquibamba,544,86,15.8,36,6.6,43,7.9,7,1.3,19,3.5
10107,Amazonas,Chachapoyas,Granada,156,60,38.5,4,2.6,4,2.6,0,0,3,1.9
10108,Amazonas,Chachapoyas,Huancas,123,3,2.4,7,5.7,17,13.8,0,0,2,1.6
10109,Amazonas,Chachapoyas,La Jalca,1104,193,17.5,135,12.2,63,5.7,13,1.2,32,2.9
10110,Amazonas,Chachapoyas,Leimebamba,1101,88,8,116,10.5,22,2,15,1.4,44,4
10111,Amazonas,Chachapoyas,Levanto,252,38,15.1,28,11.1,14,5.6,1,0.4,5,2
10112,Amazonas,Chachapoyas,Magdalena,317,16,5,21,6.6,31,9.8,3,0.9,7,2.2
10113,Amazonas,Chachapoyas,Mariscal Castilla,406,9,2.2,33,8.1,15,3.7,2,0.5,12,3
10114,Amazonas,Chachapoyas,Molinopampa,701,209,29.8,20,2.9,80,11.4,18,2.6,10,1.4
10115,Amazonas,Chachapoyas,Montevideo,164,1,0.6,13,7.9,0,0,0,0,8,4.9
10116,Amazonas,Chachapoyas,Olleros,148,123,83.1,8,5.4,6,4.1,0,0,2,1.4
10117,Amazonas,Chachapoyas,Quinjalca,295,195,66.1,26,8.8,145,49.2,7,2.4,5,1.7
10118,Amazonas,Chachapoyas,San Francisco de Daguas,102,12,11.8,1,1,14,13.7,2,2,1,1
10119,Amazonas,Chachapoyas,San Isidro de Maino,187,32,17.1,15,8,2,1.1,3,1.6,5,2.7
10120,Amazonas,Chachapoyas,Soloco,407,101,24.8,12,2.9,31,7.6,2,0.5,8,2
10121,Amazonas,Chachapoyas,Sonche,86,48,55.8,9,10.5,16,18.6,2,2.3,2,2.3
10201,Amazonas,Bagua,Bagua,7489,415,5.5,901,12,56,0.7,108,1.4,167,2.2
10202,Amazonas,Bagua,Aramango,2878,1200,41.7,618,21.5,262,9.1,109,3.8,126,4.4
10203,Amazonas,Bagua,Copallin,1470,324,22,291,19.8,31,2.1,17,1.2,51,3.5
10204,Amazonas,Bagua,El Parco,388,130,33.5,104,26.8,6,1.5,8,2.1,16,4.1
10205,Amazonas,Bagua,Imaza,6284,4975,79.2,2012,32,737,11.7,451,7.2,380,6
10206,Amazonas,Bagua,La Peca,1965,309,15.7,425,21.6,27,1.4,23,1.2,46,2.3
10301,Amazonas,Bongará,Jumbilla,442,60,13.6,18,4.1,12,2.7,3,0.7,5,1.1
10302,Amazonas,Bongará,Chisquilla,115,60,52.2,5,4.3,5,4.3,0,0,2,1.7
10303,Amazonas,Bongará,Churuja,89,9,10.1,9,10.1,19,21.3,0,0,1,1.1
10304,Amazonas,Bongará,Corosha,233,185,79.4,28,12,11,4.7,0,0,4,1.7
10305,Amazonas,Bongará,Cuispes,225,68,30.2,22,9.8,17,7.6,3,1.3,5,2.2
10306,Amazonas,Bongará,Florida,1670,642,38.4,226,13.5,15,0.9,27,1.6,60,3.6
10307,Amazonas,Bongará,Jazan,2365,75,3.2,196,8.3,288,12.2,27,1.1,26,1.1
10308,Amazonas,Bongará,Recta,79,40,50.6,8,10.1,29,36.7,0,0,0,0
10309,Amazonas,Bongará,San Carlos,183,85,46.4,9,4.9,39,21.3,3,1.6,1,0.5
10310,Amazonas,Bongará,Shipasbamba,452,141,31.2,56,12.4,34,7.5,4,0.9,22,4.9
10311,Amazonas,Bongará,Valera,300,8,2.7,14,4.7,83,27.7,1,0.3,3,1
10312,Amazonas,Bongará,Yambrasbamba,1660,921,55.5,251,15.1,34,2,19,1.1,81,4.9
10401,Amazonas,Condorcanqui,Nieva,4710,3450,73.2,1644,34.9,328,7,259,5.5,318,6.8
10402,Amazonas,Condorcanqui,El Cenepa,2087,1601,76.7,797,38.2,13,0.6,384,18.4,227,10.9
10403,Amazonas,Condorcanqui,Río Santiago,3070,1563,50.9,1356,44.2,1824,59.4,267,8.7,312,10.2
10501,Amazonas,Luya,Lamud,749,8,1.1,24,3.2,17,2.3,2,0.3,17,2.3
10502,Amazonas,Luya,Camporredondo,1835,49,2.7,253,13.8,10,0.5,19,1,88,4.8
10503,Amazonas,Luya,Cocabamba,559,25,4.5,48,8.6,38,6.8,2,0.4,31,5.5
10504,Amazonas,Luya,Colcamar,648,18,2.8,31,4.8,19,2.9,4,0.6,11,1.7
10505,Amazonas,Luya,Conila,527,35,6.6,14,2.7,20,3.8,2,0.4,23,4.4
10506,Amazonas,Luya,Inguilpata,170,19,11.2,8,4.7,5,2.9,2,1.2,5,2.9
10507,Amazonas,Luya,Longuita,254,19,7.5,17,6.7,4,1.6,1,0.4,4,1.6
