"Provincia","Nivel de pobreza monetaria"
"Chachapoyas","4"
"Bagua","3"
"Bongará","3"
"Condorcanqui","1"
"Luya","2"
"Rodríguez de Mendoza","3"
"Utcubamba","3"
"Aija","3"
"Antonio Raymondi","2"
"Asunción","3"
"Bolognesi","4"
"Carhuaz","3"
"Carlos F. Fitzcarrald","2"
"Casma","4"
"Corongo","2"
"Huaraz","5"
"Huari","3"
"Huarmey","5"
"Huaylas","4"
"Mariscal Luzuriaga","1"
"Ocros","4"
"Pallasca","1"
"Pomabamba","2"
"Recuay","4"
"Santa","5"
"Sihuas","1"
"Yungay","2"
"Abancay","4"
"Antabamba","3"
"Aymaraes","3"
"Cotabambas","2"
"Grau","2"
"Chincheros","2"
"Andahuaylas","3"
"Arequipa","5"
"Camaná","5"
"Caravelí","5"
"Castilla","4"
"Caylloma","4"
"Condesuyos","4"
"Islay","5"
"La Unión","3"
"Huamanga","4"
"Cangallo","2"
"Huanca Sancos","2"
"Huanta","2"
"La Mar","2"
"Lucanas","2"
"Parinacochas","4"
"Páucar del Sara Sara","4"
"Sucre","2"
"Víctor Fajardo","1"
"Vilcas huamán","2"
"Cajamarca","4"
"Cajabamba","1"
"Celendín","1"
"Chota","1"
"Contumazá","2"
"Cutervo","1"
"Hualgayoc","1"
"Jaén","2"
"San Ignacio","1"
"San Marcos","1"
"San Miguel","1"
"San Pablo","1"
"Santa Cruz","1"
"Prov. Const. del Callao","5"
"Cusco","5"
"Acomayo","2"
"Anta","3"
"Calca","3"
"Canas","1"
"Canchis","3"
"Chumbivilcas","2"
"Espinar","3"
"La Convención","4"
"Paruro","2"
"Paucartambo","2"
"Quispicanchi","2"
"Urubamba","4"
"Huancavelica","3"
"Acobamba","2"
"Angaraes","2"
"Castrovirreyna","3"
"Churcampa","2"
"Huaytará","3"
"Tayacaja","2"
"Huánuco","4"
"Ambo","3"
"Dos de Mayo","2"
"Huacaybamba","1"
"Huamalíes","2"
"Leoncio Prado","4"
"Marañón","3"
"Pachitea","2"
"Puerto Inca","4"
"Lauricocha","3"
"Yarowilca","2"
"Ica","5"
"Chincha","5"
"Nazca","5"
"Palpa","5"
"Pisco","5"
"Huancayo","5"
"Chanchamayo","4"
"Chupaca","4"
"Concepción","4"
"Jauja","4"
"Junín","3"
"Satipo","3"
"Tarma","4"
"Yauli","5"
"Trujillo","5"
"Ascope","4"
"Bolívar","1"
"Chepén","4"
"Gran Chimú","2"
"Julcán","1"
"Otuzco","2"
"Pacasmayo","4"
"Pataz","2"
"Sánchez Carrión","1"
"Santiago de Chuco","2"
"Virú","3"
"Chiclayo","5"
"Ferreñafe","3"
"Lambayeque","4"
"Lima","5"
"Huaura","5"
"Barranca","5"
"Cajatambo","3"
"Canta","5"
"Cañete","5"
"Huaral","5"
"Huarochirí","5"
"Oyón","4"
"Yauyos","4"
"Maynas","4"
"Alto Amazonas","3"
"Datem del Marañón","2"
"Loreto","2"
"Mariscal Ramón Castilla","2"
"Putumayo","2"
"Requena","2"
"Ucayali","2"
"Tambopata","5"
"Manu","5"
"Tahuamanu","5"
"Mariscal Nieto","5"
"General Sánchez Cerro","4"
"Ilo","4"
"Pasco","3"
"Daniel Alcides Carrión","1"
"Oxapampa","3"
"Piura","4"
"Ayabaca","1"
"Huancabamba","1"
"Morropón","3"
"Paita","4"
"Sechura","3"
"Sullana","4"
"Talara","5"
"Puno","4"
"Azángaro","2"
"Carabaya","1"
"Chucuito","2"
"El Collao","2"
"Huancané","2"
"Lampa","2"
"Melgar","2"
"Moho","2"
"San Antonio de Putina","2"
"San Román","4"
"Sandia","3"
"Yunguyo","2"
"Moyobamba","4"
"Bellavista","3"
"El Dorado","3"
"Huallaga","4"
"Lamas","3"
"Mariscal Cáceres","4"
"Picota","3"
"Rioja","3"
"San Martín","5"
"Tocache","4"
"Tacna","5"
"Candarave","4"
"Jorge Basadre","5"
"Tarata","3"
"Tumbes","5"
"Contralmirante Villar","5"
"Zarumilla","5"
"Coronel Portillo","5"
"Atalaya","3"
"Padre Abad","5"
"Purús","3"
