"Provincia","Hombre","Mujer","Total","","","","",""
" Amazonas, provincia: Bagua","50.20%","49.80%","100.00%","","","","",""
" Amazonas, provincia: Bongara","50.13%","49.87%","100.00%","","","","",""
" Amazonas, provincia: Chachapoyas","49.19%","50.81%","100.00%","","","","",""
" Amazonas, provincia: Condorcanqui","49.61%","50.39%","100.00%","","","","",""
" Amazonas, provincia: Luya","50.83%","49.17%","100.00%","","","","",""
" Amazonas, provincia: Rodríguez de Mendoza","51.92%","48.08%","100.00%","","","","",""
" Amazonas, provincia: Utcubamba","51.00%","49.00%","100.00%","","","","",""
" Áncash, provincia: Aija","51.33%","48.67%","100.00%","","","","",""
" Áncash, provincia: Antonio Raymondi","49.25%","50.75%","100.00%","","","","",""
" Áncash, provincia: Asunción","47.74%","52.26%","100.00%","","","","",""
" Áncash, provincia: Bolognesi","51.18%","48.82%","100.00%","","","","",""
" Áncash, provincia: Carhuaz","48.22%","51.78%","100.00%","","","","",""
" Áncash, provincia: Carlos Fermín Fitzcarrald","47.59%","52.41%","100.00%","","","","",""
" Áncash, provincia: Casma","50.01%","49.99%","100.00%","","","","",""
" Áncash, provincia: Corongo","50.94%","49.06%","100.00%","","","","",""
" Áncash, provincia: Huaraz","48.86%","51.14%","100.00%","","","","",""
" Áncash, provincia: Huari","52.06%","47.94%","100.00%","","","","",""
" Áncash, provincia: Huarmey","50.86%","49.14%","100.00%","","","","",""
" Áncash, provincia: Huaylas","49.06%","50.94%","100.00%","","","","",""
" Áncash, provincia: Mariscal Luzuriaga","47.92%","52.08%","100.00%","","","","",""
" Áncash, provincia: Ocros","52.25%","47.75%","100.00%","","","","",""
" Áncash, provincia: Pallasca","49.18%","50.82%","100.00%","","","","",""
" Áncash, provincia: Pomabamba","47.56%","52.44%","100.00%","","","","",""
" Áncash, provincia: Recuay","47.75%","52.25%","100.00%","","","","",""
" Áncash, provincia: Santa","49.27%","50.73%","100.00%","","","","",""
" Áncash, provincia: Sihuas","48.27%","51.73%","100.00%","","","","",""
" Áncash, provincia: Yungay","48.81%","51.19%","100.00%","","","","",""
" Apurímac, provincia: Abancay","48.94%","51.06%","100.00%","","","","",""
" Apurímac, provincia: Andahuaylas","48.32%","51.68%","100.00%","","","","",""
" Apurímac, provincia: Antabamba","51.61%","48.39%","100.00%","","","","",""
" Apurímac, provincia: Aymaraes","50.15%","49.85%","100.00%","","","","",""
" Apurímac, provincia: Chincheros","49.53%","50.47%","100.00%","","","","",""
" Apurímac, provincia: Cotabambas","52.97%","47.03%","100.00%","","","","",""
" Apurímac, provincia: Grau","49.85%","50.15%","100.00%","","","","",""
" Arequipa, provincia: Arequipa","48.25%","51.75%","100.00%","","","","",""
" Arequipa, provincia: Camaná","50.58%","49.42%","100.00%","","","","",""
" Arequipa, provincia: Caravelí","55.38%","44.62%","100.00%","","","","",""
" Arequipa, provincia: Castilla","51.90%","48.10%","100.00%","","","","",""
" Arequipa, provincia: Caylloma","50.70%","49.30%","100.00%","","","","",""
" Arequipa, provincia: Condesuyos","56.71%","43.29%","100.00%","","","","",""
" Arequipa, provincia: Islay","50.40%","49.60%","100.00%","","","","",""
" Arequipa, provincia: La Unión","49.75%","50.25%","100.00%","","","","",""
" Ayacucho, provincia: Cangallo","48.06%","51.94%","100.00%","","","","",""
" Ayacucho, provincia: Huamanga","48.75%","51.25%","100.00%","","","","",""
" Ayacucho, provincia: Huanca Sancos","48.12%","51.88%","100.00%","","","","",""
" Ayacucho, provincia: Huanta","48.98%","51.02%","100.00%","","","","",""
" Ayacucho, provincia: La Mar","50.70%","49.30%","100.00%","","","","",""
" Ayacucho, provincia: Lucanas","51.69%","48.31%","100.00%","","","","",""
" Ayacucho, provincia: Parinacochas","51.99%","48.01%","100.00%","","","","",""
" Ayacucho, provincia: Páucar del Sara Sara","52.18%","47.82%","100.00%","","","","",""
" Ayacucho, provincia: Sucre","49.34%","50.66%","100.00%","","","","",""
" Ayacucho, provincia: Víctor Fajardo","48.66%","51.34%","100.00%","","","","",""
" Ayacucho, provincia: Vilcas Huamán","47.86%","52.14%","100.00%","","","","",""
" Cajamarca, provincia: Cajabamba","49.18%","50.82%","100.00%","","","","",""
" Cajamarca, provincia: Cajamarca","47.85%","52.15%","100.00%","","","","",""
" Cajamarca, provincia: Celendín","48.28%","51.72%","100.00%","","","","",""
" Cajamarca, provincia: Chota","47.72%","52.28%","100.00%","","","","",""
" Cajamarca, provincia: Contumazá","49.80%","50.20%","100.00%","","","","",""
" Cajamarca, provincia: Cutervo","49.38%","50.62%","100.00%","","","","",""
" Cajamarca, provincia: Hualgayoc","48.20%","51.80%","100.00%","","","","",""
" Cajamarca, provincia: Jaén","50.60%","49.40%","100.00%","","","","",""
" Cajamarca, provincia: San Ignacio","51.90%","48.10%","100.00%","","","","",""
" Cajamarca, provincia: San Marcos","49.14%","50.86%","100.00%","","","","",""
" Cajamarca, provincia: San Miguel","48.43%","51.57%","100.00%","","","","",""
" Cajamarca, provincia: San Pablo","47.46%","52.54%","100.00%","","","","",""
" Cajamarca, provincia: Santa Cruz","50.42%","49.58%","100.00%","","","","",""
" Cusco, provincia: Acomayo","48.89%","51.11%","100.00%","","","","",""
" Cusco, provincia: Anta","49.30%","50.70%","100.00%","","","","",""
" Cusco, provincia: Calca","49.23%","50.77%","100.00%","","","","",""
" Cusco, provincia: Canas","49.10%","50.90%","100.00%","","","","",""
" Cusco, provincia: Canchis","47.88%","52.12%","100.00%","","","","",""
" Cusco, provincia: Chumbivilcas","50.84%","49.16%","100.00%","","","","",""
" Cusco, provincia: Cusco","48.35%","51.65%","100.00%","","","","",""
" Cusco, provincia: Espinar","51.30%","48.70%","100.00%","","","","",""
" Cusco, provincia: La Convención","52.75%","47.25%","100.00%","","","","",""
" Cusco, provincia: Paruro","50.14%","49.86%","100.00%","","","","",""
" Cusco, provincia: Paucartambo","50.11%","49.89%","100.00%","","","","",""
" Cusco, provincia: Quispicanchi","49.07%","50.93%","100.00%","","","","",""
" Cusco, provincia: Urubamba","49.99%","50.01%","100.00%","","","","",""
" Huancavelica, provincia: Acobamba","47.75%","52.25%","100.00%","","","","",""
" Huancavelica, provincia: Angaraes","48.60%","51.40%","100.00%","","","","",""
" Huancavelica, provincia: Castrovirreyna","49.95%","50.05%","100.00%","","","","",""
" Huancavelica, provincia: Churcampa","48.64%","51.36%","100.00%","","","","",""
" Huancavelica, provincia: Huancavelica","48.02%","51.98%","100.00%","","","","",""
" Huancavelica, provincia: Huaytará","50.47%","49.53%","100.00%","","","","",""
" Huancavelica, provincia: Tayacaja","49.04%","50.96%","100.00%","","","","",""
" Huánuco, provincia: Ambo","49.06%","50.94%","100.00%","","","","",""
" Huánuco, provincia: Dos De Mayo","48.18%","51.82%","100.00%","","","","",""
" Huánuco, provincia: Huacaybamba","49.19%","50.81%","100.00%","","","","",""
" Huánuco, provincia: Huamalíes","49.11%","50.89%","100.00%","","","","",""
" Huánuco, provincia: Huánuco","49.03%","50.97%","100.00%","","","","",""
" Huánuco, provincia: Lauricocha","51.14%","48.86%","100.00%","","","","",""
" Huánuco, provincia: Leoncio Prado","50.27%","49.73%","100.00%","","","","",""
" Huánuco, provincia: Marañón","50.51%","49.49%","100.00%","","","","",""
" Huánuco, provincia: Pachitea","49.52%","50.48%","100.00%","","","","",""
" Huánuco, provincia: Puerto Inca","53.91%","46.09%","100.00%","","","","",""
" Huánuco, provincia: Yarowilca","47.20%","52.80%","100.00%","","","","",""
" Ica, provincia: Chincha","49.21%","50.79%","100.00%","","","","",""
" Ica, provincia: Ica","49.15%","50.85%","100.00%","","","","",""
" Ica, provincia: Nazca","50.96%","49.04%","100.00%","","","","",""
" Ica, provincia: Palpa","50.41%","49.59%","100.00%","","","","",""
" Ica, provincia: Pisco","49.18%","50.82%","100.00%","","","","",""
" Junín, provincia: Chanchamayo","51.27%","48.73%","100.00%","","","","",""
" Junín, provincia: Chupaca","48.92%","51.08%","100.00%","","","","",""
" Junín, provincia: Concepción","47.53%","52.47%","100.00%","","","","",""
" Junín, provincia: Huancayo","47.19%","52.81%","100.00%","","","","",""
" Junín, provincia: Jauja","47.65%","52.35%","100.00%","","","","",""
" Junín, provincia: Junín","47.81%","52.19%","100.00%","","","","",""
" Junín, provincia: Satipo","51.59%","48.41%","100.00%","","","","",""
" Junín, provincia: Tarma","48.22%","51.78%","100.00%","","","","",""
" Junín, provincia: Yauli","55.15%","44.85%","100.00%","","","","",""
" La Lbertad, provincia: Ascope","49.24%","50.76%","100.00%","","","","",""
" La Lbertad, provincia: Bolívar","50.85%","49.15%","100.00%","","","","",""
" La Lbertad, provincia: Chepén","48.83%","51.17%","100.00%","","","","",""
" La Lbertad, provincia: Gran Chimú","52.44%","47.56%","100.00%","","","","",""
" La Lbertad, provincia: Julcán","49.90%","50.10%","100.00%","","","","",""
" La Lbertad, provincia: Otuzco","49.54%","50.46%","100.00%","","","","",""
" La Lbertad, provincia: Pacasmayo","48.37%","51.63%","100.00%","","","","",""
" La Lbertad, provincia: Pataz","53.34%","46.66%","100.00%","","","","",""
" La Lbertad, provincia: Sánchez Carrión","48.24%","51.76%","100.00%","","","","",""
" La Lbertad, provincia: Santiago de Chuco","50.21%","49.79%","100.00%","","","","",""
" La Lbertad, provincia: Trujillo","48.14%","51.86%","100.00%","","","","",""
" La Lbertad, provincia: Virú","49.89%","50.11%","100.00%","","","","",""
" Lambayeque, provincia: Chiclayo","48.16%","51.84%","100.00%","","","","",""
" Lambayeque, provincia: Ferreñafe","48.73%","51.27%","100.00%","","","","",""
" Lambayeque, provincia: Lambayeque","49.34%","50.66%","100.00%","","","","",""
