"N°","PROVINCIA","REGIÓN","PUNTAJE INCO 2022","PUNTAJE INCO 2023","PUNTAJE INCO 2024"
"1","JORGE BASADRE","TACNA","60.4","59.3","61.7"
"2","ZARUMILLA","TUMBES","47.5","41.2","51.8"
"3","CASMA","ANCASH","52.5","46.8","51.4"
"4","MARISCAL NIETO","MOQUEGUA","61.2","60.8","50.5"
"5","CONTRALMIRANTE VILLAR","TUMBES","51.0","44.4","49.8"
"6","PIURA","PIURA","65.8","66.7","49.3"
"7","TAMBOPATA","MADRE DE DIOS","54.9","51.2","48.7"
"8","VIRU","LA LIBERTAD","50.8","52.1","47.8"
"9","AREQUIPA","AREQUIPA","61.6","59.5","47.4"
"10","TACNA","TACNA","60.3","58.4","47.2"
"11","ATALAYA","UCAYALI","54.3","45.7","45.9"
"12","CALLAO","CALLAO","64.1","62.3","45.5"
"13","TALARA","PIURA","47.9","43.9","45.4"
"14","LAMBAYEQUE","LAMBAYEQUE","52.1","55.1","45.2"
"15","ILO","MOQUEGUA","56.1","57.2","45.0"
"16","CHEPEN","LA LIBERTAD","38.5","45.0","44.6"
"17","PACASMAYO","LA LIBERTAD","39.0","41.5","43.4"
"18","MAYNAS","LORETO","72.8","69.1","43.0"
"19","FERREÑAFE","LAMBAYEQUE","39.6","51.2","42.9"
"20","COTABAMBAS","APURIMAC","52.8","50.7","42.8"
"21","ICA","ICA","56.2","58.0","42.7"
"22","CAJAMARCA","CAJAMARCA","61.0","58.1","42.5"
"23","SULLANA","PIURA","51.5","55.3","42.2"
"24","HUAURA","LIMA PROVINCIAS","59.7","58.5","42.0"
"24","SECHURA","PIURA","44.5","46.8","42.0"
"26","TUMBES","TUMBES","59.8","60.0","41.9"
"26","EL DORADO","SAN MARTIN","36.0","41.9","41.9"
"28","CALCA","CUSCO","45.0","45.7","41.7"
"28","CORONEL PORTILLO","UCAYALI","60.3","53.5","41.7"
"30","MOYOBAMBA","SAN MARTIN","62.6","60.5","41.6"
"31","CUSCO","CUSCO","53.9","56.8","41.5"
"31","TRUJILLO","LA LIBERTAD","55.9","55.0","41.5"
"33","LIMA METROPOLITANA","LIMA METROPOLITANA","57.3","56.4","41.3"
"34","SANTA","ANCASH","57.2","52.8","40.9"
"34","CAMANA","AREQUIPA","47.1","43.9","40.9"
"36","HUALGAYOC","CAJAMARCA","48.2","45.2","40.7"
"37","NAZCA","ICA","40.7","50.2","40.4"
"37","PAUCARTAMBO","CUSCO","31.0","43.5","40.4"
"39","SAN ROMAN","PUNO","44.5","55.8","40.2"
"39","LORETO","LORETO","48.3","40.4","40.2"
"39","CAJABAMBA","CAJAMARCA","50.5","44.8","40.2"
"39","HUARI","ANCASH","53.6","55.1","40.2"
"43","CHANCHAMAYO","JUNIN","43.6","43.5","40.1"
"44","ALTO AMAZONAS","LORETO","48.2","46.6","40.0"
"44","PISCO","ICA","41.6","46.3","40.0"
"46","ESPINAR","CUSCO","52.5","47.7","39.7"
"47","CANGALLO","AYACUCHO","35.8","35.1","38.8"
"47","HUAMANGA","AYACUCHO","60.5","55.9","38.8"
"47","HUANUCO","HUANUCO","56.3","51.3","38.8"
"47","SAN MARTIN","SAN MARTIN","52.0","53.5","38.8"
"51","LA CONVENCION","CUSCO","53.1","50.9","38.6"
"52","CHICLAYO","LAMBAYEQUE","51.1","51.5","38.4"
"52","PADRE ABAD","UCAYALI","44.0","42.3","38.4"
"54","PAITA","PIURA","48.0","43.8","37.8"
"55","PURUS","UCAYALI","32.4","30.4","37.6"
"56","SATIPO","JUNIN","47.8","49.6","37.5"
"57","PASCO","PASCO","54.8","52.6","37.3"
"58","ASCOPE","LA LIBERTAD","45.3","47.2","37.2"
"58","JULCAN","LA LIBERTAD","44.1","37.4","37.2"
"60","CAÑETE","LIMA PROVINCIAS","39.4","41.5","37.1"
"61","BAGUA","AMAZONAS","36.3","27.9","36.9"
"62","ABANCAY","APURIMAC","52.9","56.9","36.5"
"62","ISLAY","AREQUIPA","50.3","46.0","36.5"
"64","AYABACA","PIURA","47.3","47.8","36.1"
"65","CARLOS FERMIN FITZCARRALD","ANCASH","41.6","41.9","36.0"
"65","DATEM DEL MARAÑON","LORETO","36.6","35.1","36.0"
"67","HUARAZ","ANCASH","62.7","63.8","35.8"
"67","RIOJA","SAN MARTIN","39.1","37.4","35.8"
"69","PACHITEA","HUANUCO","35.2","33.0","35.7"
"70","BARRANCA","LIMA PROVINCIAS","51.5","54.4","35.5"
"70","CHINCHA","ICA","39.7","42.6","35.5"
"72","HUARMEY","ANCASH","49.1","44.1","35.1"
"72","UCAYALI","LORETO","56.0","48.1","35.1"
"74","AIJA","ANCASH","33.5","35.7","35.0"
"75","SAN IGNACIO","CAJAMARCA","42.4","44.6","34.8"
"76","HUANCABAMBA","PIURA","43.6","38.4","34.7"
"76","OTUZCO","LA LIBERTAD","47.1","41.3","34.7"
"78","CHUMBIVILCAS","CUSCO","43.0","35.7","34.4"
"79","GRAN CHIMU","LA LIBERTAD","40.6","38.6","34.3"
"80","TOCACHE","SAN MARTIN","38.4","34.9","34.2"
"81","MARISCAL RAMON CASTILLA","LORETO","32.1","29.3","34.0"
"81","QUISPICANCHI","CUSCO","42.6","37.8","34.0"
"83","SANCHEZ CARRION","LA LIBERTAD","41.0","40.4","33.9"
"84","LAMAS","SAN MARTIN","37.4","39.9","33.8"
"84","LEONCIO PRADO","HUANUCO","37.5","46.5","33.8"
"86","HUANCAYO","JUNIN","59.5","67.3","33.7"
"87","PUNO","PUNO","60.9","63.3","33.6"
"87","YUNGAY","ANCASH","47.7","41.2","33.6"
"89","BOLIVAR","LA LIBERTAD","36.8","32.0","33.5"
"90","EL COLLAO","PUNO","48.3","44.5","33.2"
"90","URUBAMBA","CUSCO","36.8","36.6","33.2"
"92","MORROPON","PIURA","43.4","43.5","33.1"
"93","ACOBAMBA","HUANCAVELICA","44.9","40.2","32.9"
"94","OYON","LIMA PROVINCIAS","39.8","32.0","32.7"
"95","SANTA CRUZ","CAJAMARCA","38.7","38.4","32.6"
"96","MARISCAL CACERES","SAN MARTIN","38.3","42.2","32.4"
"96","PALPA","ICA","31.8","38.2","32.4"
"98","AMBO","HUANUCO","42.5","44.1","32.3"
"98","BELLAVISTA","SAN MARTIN","39.7","39.4","32.3"
"100","SANTIAGO DE CHUCO","LA LIBERTAD","45.2","37.3","32.2"
"101","OXAPAMPA","PASCO","34.5","34.4","32.1"
"102","CARAVELI","AREQUIPA","34.8","32.2","31.9"
"102","HUANCAVELICA","HUANCAVELICA","57.9","57.9","31.9"
"104","JUNIN","JUNIN","49.2","44.2","31.8"
"104","SAN PABLO","CAJAMARCA","46.2","37.4","31.8"
"106","POMABAMBA","ANCASH","39.6","34.0","31.6"
"107","CANDARAVE","TACNA","34.5","31.2","31.5"
"108","UTCUBAMBA","AMAZONAS","57.6","49.9","31.4"
"109","PUTUMAYO","LORETO","43.2","28.4","31.2"
"110","CHINCHEROS","APURIMAC","46.9","40.3","30.9"
"110","MELGAR","PUNO","43.0","42.5","30.9"
"112","CANAS","CUSCO","28.3","28.5","30.6"
"112","REQUENA","LORETO","39.8","40.8","30.6"
"114","PARURO","CUSCO","27.1","30.2","30.5"
"115","CANCHIS","CUSCO","41.6","44.9","30.4"
"116","MARISCAL LUZURIAGA","ANCASH","39.5","35.5","30.1"
"117","JAEN","CAJAMARCA","45.7","46.9","30.0"
"118","PICOTA","SAN MARTIN","35.2","40.1","29.9"
"118","SAN ANTONIO DE PUTINA","PUNO","32.8","39.1","29.9"
"120","LAURICOCHA","HUANUCO","37.0","38.9","29.8"
"121","HUANCA SANCOS","AYACUCHO","36.4","21.1","29.6"
"122","PUERTO INCA","HUANUCO","26.9","22.6","29.5"
"123","PALLASCA","ANCASH","40.3","42.8","29.4"
"124","CAJATAMBO","LIMA PROVINCIAS","30.9","36.5","29.3"
"124","CANTA","LIMA PROVINCIAS","30.9","30.5","29.3"
"124","CASTILLA","AREQUIPA","29.7","39.9","29.3"
"124","HUALLAGA","SAN MARTIN","35.4","27.9","29.3"
"128","CELENDIN","CAJAMARCA","39.7","34.0","29.2"
"128","SIHUAS","ANCASH","31.7","34.4","29.2"
"130","ANTA","CUSCO","27.6","35.1","29.1"
"130","CARABAYA","PUNO","32.3","35.0","29.1"
"132","HUANTA","AYACUCHO","41.4","36.4","28.8"
"133","HUARAL","LIMA PROVINCIAS","54.5","45.1","28.7"
"134","CHUCUITO","PUNO","46.5","44.0","28.5"
"135","LA MAR","AYACUCHO","31.3","39.8","28.4"
"135","PARINACOCHAS","AYACUCHO","45.1","34.8","28.4"
"137","RECUAY","ANCASH","41.3","39.9","28.3"
"138","CHUPACA","JUNIN","37.7","26.9","27.8"
"139","ACOMAYO","CUSCO","25.6","22.8","27.7"
"139","TARMA","JUNIN","35.2","39.0","27.7"
"141","CHOTA","CAJAMARCA","43.3","35.8","27.6"
"142","MOHO","PUNO","36.2","34.6","27.5"
"143","TAHUAMANU","MADRE DE DIOS","23.7","17.0","27.3"
"144","ASUNCION","ANCASH","21.4","19.4","26.9"
"145","ANTONIO RAYMONDI","ANCASH","41.2","39.7","26.8"
"145","CUTERVO","CAJAMARCA","41.0","47.9","26.8"
"147","CARHUAZ","ANCASH","41.0","29.8","26.7"
"148","AZANGARO","PUNO","46.7","37.8","26.6"
"148","HUANCANE","PUNO","31.0","33.4","26.6"
"150","DANIEL ALCIDES CARRION","PASCO","42.3","41.0","26.4"
"151","PATAZ","LA LIBERTAD","42.6","35.3","26.1"
"151","YUNGUYO","PUNO","33.9","33.1","26.1"
"153","ANDAHUAYLAS","APURIMAC","49.2","46.4","26.0"
"154","CONDESUYOS","AREQUIPA","39.1","29.3","25.9"
"155","CHACHAPOYAS","AMAZONAS","62.7","60.3","25.8"
"155","CORONGO","ANCASH","30.0","29.1","25.8"
"157","CONCEPCION","JUNIN","37.5","22.8","25.5"
"158","OCROS","ANCASH","29.1","36.1","25.4"
"158","SAN MIGUEL","CAJAMARCA","32.8","39.2","25.4"
"160","MARAÑON","HUANUCO","38.1","31.6","25.2"
"161","TAYACAJA","HUANCAVELICA","39.7","37.3","25.1"
"162","YAULI","JUNIN","36.3","34.8","25.0"
"162","GENERAL SANCHEZ CERRO","MOQUEGUA","24.6","36.4","25.0"
"162","TARATA","TACNA","33.0","31.9","25.0"
"165","CHURCAMPA","HUANCAVELICA","31.8","25.2","24.7"
"165","CONDORCANQUI","AMAZONAS","30.2","27.2","24.7"
"167","LA UNION","AREQUIPA","30.3","32.4","24.6"
"168","HUAYLAS","ANCASH","44.3","40.8","24.5"
"168","SAN MARCOS","CAJAMARCA","42.9","31.2","24.5"
"170","DOS DE MAYO","HUANUCO","27.5","29.3","24.4"
"170","MANU","MADRE DE DIOS","34.6","20.1","24.4"
"172","CONTUMAZA","CAJAMARCA","33.3","33.5","24.2"
"173","CASTROVIRREYNA","HUANCAVELICA","37.9","28.4","24.1"
"173","LAMPA","PUNO","43.5","41.9","24.1"
"175","CAYLLOMA","AREQUIPA","48.7","41.2","23.9"
"176","HUAMALIES","HUANUCO","41.2","36.5","23.7"
"177","LUCANAS","AYACUCHO","44.5","34.2","23.4"
"178","HUAROCHIRI","LIMA PROVINCIAS","39.3","39.4","22.9"
"179","VILCAS HUAMAN","AYACUCHO","34.4","27.7","22.6"
"180","VICTOR FAJARDO","AYACUCHO","25.6","23.4","22.5"
"181","ANGARAES","HUANCAVELICA","27.7","25.1","22.2"
"182","BOLOGNESI","ANCASH","40.3","37.7","22.0"
"183","YAROWILCA","HUANUCO","36.7","30.9","21.7"
"184","SANDIA","PUNO","34.6","31.1","21.6"
"185","GRAU","APURIMAC","23.1","18.5","21.4"
"185","HUAYTARA","HUANCAVELICA","22.7","27.3","21.4"
"187","YAUYOS","LIMA PROVINCIAS","37.4","34.9","21.0"
"188","AYMARAES","APURIMAC","31.6","22.8","20.7"
"189","RODRIGUEZ DE MENDOZA","AMAZONAS","21.8","26.8","20.6"
"190","JAUJA","JUNIN","40.4","38.0","20.3"
"191","ANTABAMBA","APURIMAC","21.0","18.5","20.0"
"192","HUACAYBAMBA","HUANUCO","25.4","24.6","19.6"
"193","LUYA","AMAZONAS","33.3","26.6","18.4"
"194","PAUCAR DEL SARA SARA","AYACUCHO","24.7","20.8","18.3"
"195","BONGARA","AMAZONAS","27.7","22.0","18.1"
"196","SUCRE","AYACUCHO","21.0","17.7","16.6"
