"V: Abastecimiento de agua en la vivienda","Provincia","V: La vivienda tiene alumbrado eléctrico por red pública","","","","","","",""
"Red pública dentro de la vivienda","","Sí tiene alumbrado eléctrico","No tiene alumbrado eléctrico","Total","","","","",""
""," Amazonas, provincia: Bagua","90.38%","9.62%","100.00%","","","","",""
""," Amazonas, provincia: Bongara","92.34%","7.66%","100.00%","","","","",""
""," Amazonas, provincia: Chachapoyas","94.76%","5.24%","100.00%","","","","",""
""," Amazonas, provincia: Condorcanqui","61.13%","38.87%","100.00%","","","","",""
""," Amazonas, provincia: Luya","92.51%","7.49%","100.00%","","","","",""
""," Amazonas, provincia: Rodríguez de Mendoza","93.66%","6.34%","100.00%","","","","",""
""," Amazonas, provincia: Utcubamba","91.73%","8.27%","100.00%","","","","",""
""," Áncash, provincia: Aija","86.84%","13.16%","100.00%","","","","",""
""," Áncash, provincia: Antonio Raymondi","83.99%","16.01%","100.00%","","","","",""
""," Áncash, provincia: Asunción","89.52%","10.48%","100.00%","","","","",""
""," Áncash, provincia: Bolognesi","91.12%","8.88%","100.00%","","","","",""
""," Áncash, provincia: Carhuaz","84.97%","15.03%","100.00%","","","","",""
""," Áncash, provincia: Carlos Fermín Fitzcarrald","73.44%","26.56%","100.00%","","","","",""
""," Áncash, provincia: Casma","93.12%","6.88%","100.00%","","","","",""
""," Áncash, provincia: Corongo","94.35%","5.65%","100.00%","","","","",""
""," Áncash, provincia: Huaraz","93.22%","6.78%","100.00%","","","","",""
""," Áncash, provincia: Huari","84.45%","15.55%","100.00%","","","","",""
""," Áncash, provincia: Huarmey","96.27%","3.73%","100.00%","","","","",""
""," Áncash, provincia: Huaylas","88.25%","11.75%","100.00%","","","","",""
""," Áncash, provincia: Mariscal Luzuriaga","86.88%","13.12%","100.00%","","","","",""
""," Áncash, provincia: Ocros","86.36%","13.64%","100.00%","","","","",""
""," Áncash, provincia: Pallasca","90.22%","9.78%","100.00%","","","","",""
""," Áncash, provincia: Pomabamba","70.34%","29.66%","100.00%","","","","",""
""," Áncash, provincia: Recuay","89.20%","10.80%","100.00%","","","","",""
""," Áncash, provincia: Santa","97.61%","2.39%","100.00%","","","","",""
""," Áncash, provincia: Sihuas","83.55%","16.45%","100.00%","","","","",""
""," Áncash, provincia: Yungay","85.08%","14.92%","100.00%","","","","",""
""," Apurímac, provincia: Abancay","94.87%","5.13%","100.00%","","","","",""
""," Apurímac, provincia: Andahuaylas","85.09%","14.91%","100.00%","","","","",""
""," Apurímac, provincia: Antabamba","89.98%","10.02%","100.00%","","","","",""
""," Apurímac, provincia: Aymaraes","91.04%","8.96%","100.00%","","","","",""
""," Apurímac, provincia: Chincheros","80.26%","19.74%","100.00%","","","","",""
""," Apurímac, provincia: Cotabambas","81.66%","18.34%","100.00%","","","","",""
""," Apurímac, provincia: Grau","89.60%","10.40%","100.00%","","","","",""
""," Arequipa, provincia: Arequipa","98.24%","1.76%","100.00%","","","","",""
""," Arequipa, provincia: Camaná","95.36%","4.64%","100.00%","","","","",""
""," Arequipa, provincia: Caravelí","94.88%","5.12%","100.00%","","","","",""
""," Arequipa, provincia: Castilla","93.12%","6.88%","100.00%","","","","",""
""," Arequipa, provincia: Caylloma","90.99%","9.01%","100.00%","","","","",""
""," Arequipa, provincia: Condesuyos","92.16%","7.84%","100.00%","","","","",""
""," Arequipa, provincia: Islay","97.03%","2.97%","100.00%","","","","",""
""," Arequipa, provincia: La Unión","89.24%","10.76%","100.00%","","","","",""
""," Ayacucho, provincia: Cangallo","81.22%","18.78%","100.00%","","","","",""
