"","","","","","","","","","",""
"","","","","","","","","","",""
"Provincia","PIA","PIM","Certificación","Compromiso Anual","Ejecución","","","Avance % ","",""
"","","","","","Atención de Compromiso Mensual ","Devengado ","Girado ","","",""
"0101: CHACHAPOYAS","54,050,715","137,317,657","130,816,267","123,567,693","111,725,311","102,526,006","102,501,687","  74.7","1",""
"0102: BAGUA","51,941,023","98,204,124","94,923,016","88,802,778","86,513,903","78,032,061","78,027,097","  79.5","2",""
"0103: BONGARA","25,312,167","82,653,885","78,830,517","67,554,282","65,729,181","54,664,209","54,662,695","  66.1","3",""
"0104: CONDORCANQUI","37,364,107","75,840,175","66,238,904","60,441,914","57,997,608","49,756,648","49,754,278","  65.6","4",""
"0105: LUYA","28,410,987","105,282,193","99,776,567","90,415,338","89,322,809","80,580,836","80,570,598","  76.5","5",""
"0106: RODRIGUEZ DE MENDOZA","16,859,438","51,198,484","48,414,075","44,976,805","43,170,121","40,689,301","40,688,101","  79.5","6",""
"0107: UTCUBAMBA","64,551,770","159,578,555","142,925,475","131,531,416","126,392,893","117,981,542","117,980,963","  73.9","7",""
"0201: HUARAZ","100,688,794","328,397,862","295,773,797","218,989,011","205,481,044","196,067,364","196,061,291","  59.7","8",""
"0202: AIJA","10,012,758","48,832,719","45,019,143","40,210,991","39,604,022","32,505,385","32,503,766","  66.6","9",""
"0203: ANTONIO RAYMONDI","12,309,530","58,984,469","55,830,519","48,413,075","48,375,793","41,235,619","41,205,423","  69.9","10",""
"0204: ASUNCION","5,381,672","17,034,440","16,184,387","15,291,639","14,671,863","14,204,410","14,204,450","  83.4","11",""
"0205: BOLOGNESI","23,372,992","112,089,356","103,574,691","82,199,716","81,738,869","76,194,819","76,182,733","  68.0","12",""
"0206: CARHUAZ","32,963,084","135,684,345","123,458,777","99,883,610","98,940,339","86,359,624","86,349,415","  63.6","13",""
"0207: CARLOS FERMIN FITZCARRALD","21,770,774","78,906,898","73,836,412","46,894,599","46,871,709","46,862,395","46,859,397","  59.4","14",""
"0208: CASMA","51,631,337","153,627,302","151,231,894","136,790,203","125,407,311","120,857,953","120,851,923","  78.7","15",""
"0209: CORONGO","11,344,083","47,363,158","44,173,717","35,627,518","35,413,166","35,135,650","35,135,650","  74.2","16",""
"0210: HUARI","392,870,267","2,043,867,696","1,726,523,215","1,032,110,855","1,019,583,384","966,250,345","966,217,462","  47.3","17",""
"0211: HUARMEY","29,065,049","107,584,841","97,620,242","87,853,610","81,834,921","72,213,959","72,213,437","  67.1","18",""
"0212: HUAYLAS","64,756,018","235,636,382","223,858,724","193,891,584","179,555,178","135,065,631","135,064,571","  57.3","19",""
"0213: MARISCAL LUZURIAGA","25,780,901","107,775,389","101,055,928","79,290,730","79,144,332","70,396,863","70,341,402","  65.3","20",""
"0214: OCROS","13,966,489","54,111,947","44,927,349","37,061,922","34,695,913","33,825,682","33,825,682","  62.5","21",""
"0215: PALLASCA","24,092,860","105,817,362","99,570,980","84,332,988","75,517,413","75,011,650","75,011,650","  70.9","22",""
"0216: POMABAMBA","25,264,351","88,801,925","84,471,745","63,573,966","60,824,677","57,024,318","57,021,505","  64.2","23",""
"0217: RECUAY","18,488,581","73,222,767","66,695,728","60,696,965","58,686,638","56,018,254","56,017,983","  76.5","24",""
"0218: SANTA","306,350,744","1,038,757,272","979,244,285","795,460,902","702,986,259","584,244,104","584,229,564","  56.2","25",""
"0219: SIHUAS","36,606,777","121,558,106","108,555,466","99,062,039","94,933,299","76,297,261","76,297,261","  62.8","26",""
"0220: YUNGAY","42,305,960","156,842,942","145,078,907","104,931,008","104,787,820","102,830,030","102,825,617","  65.6","27",""
"0301: ABANCAY","73,468,596","203,572,809","182,883,619","175,673,821","161,442,684","161,034,011","161,031,657","  79.1","28",""
"0302: ANDAHUAYLAS","101,230,636","303,178,890","287,960,682","272,840,935","251,666,261","244,339,250","244,309,484","  80.6","29",""
"0303: ANTABAMBA","18,712,305","65,000,173","57,296,703","51,147,912","49,143,072","48,323,367","48,317,367","  74.3","30",""
"0304: AYMARAES","63,408,933","145,366,989","135,858,415","111,455,724","109,739,761","101,812,357","101,811,957","  70.0","31",""
"0305: COTABAMBAS","145,393,416","495,865,054","448,973,342","424,442,750","410,829,956","392,569,329","392,549,332","  79.2","32",""
"0306: CHINCHEROS","52,325,651","189,213,824","178,993,447","165,707,472","147,042,164","128,641,459","128,635,068","  68.0","33",""
"0307: GRAU","24,191,030","95,734,199","83,787,985","71,407,502","68,534,914","59,805,649","59,805,649","  62.5","34",""
"0401: AREQUIPA","935,940,396","2,424,806,976","2,078,650,847","1,675,230,246","1,545,477,256","1,478,378,712","1,477,456,471","  61.0","35",""
"0402: CAMANA","51,087,493","217,501,812","205,639,091","188,935,801","185,628,237","156,657,041","156,656,269","  72.0","36",""
"0403: CARAVELI","42,059,480","172,437,976","159,437,789","127,637,528","113,451,530","102,059,048","102,031,616","  59.2","37",""
"0404: CASTILLA","91,073,123","209,640,611","196,742,739","169,172,376","154,616,323","143,569,501","143,554,949","  68.5","38",""
"0405: CAYLLOMA","127,184,002","388,950,730","357,238,945","272,862,183","238,355,931","224,966,937","224,954,879","  57.8","39",""
"0406: CONDESUYOS","22,213,542","121,271,462","107,166,535","87,422,776","85,330,875","72,466,254","72,465,550","  59.8","40",""
